ID;NAME;ACTIVE
801005;F2;N
801587;67;N
801548;48;N
801627;809;N
801245;709;N
801366;805_806;N
4017;208;N
801547;89;N
4018;18_22;N
801567;68;N
2337;600;N
2257;302;N
2356;500;N
2396;400;N
2476;705;N
2496;F5;N
2516;F4;N
2536;F1;N
2537;N4;N
2538;N5;N
2556;N2;N
2576;N1;N
2577;N3;N
2617;F3;N
2976;207;N
801607;300_301;N
801125;209;N
3256;22;N
801667;V94_700;N
801727;42;N
801767;100;N
2637;106;N
2376;300;N
3896;35;N
3916;37;N
3917;36;N
3936;79;N
2316;901_906;N
2456;601;N
2816;1_18_22;N
2856;707;N
3416;94M;N
3996;907;N
3036;69;N
22;103;N
1796;202;N
106;61;N
1616;1M;N
116;V94;N
1618;3M;N
1619;4M;N
1620;5M;N
1622;7M;N
1623;8M;N
1624;9M;N
1625;10M;N
1626;11M;N
1627;12M;N
1628;13M;N
1256;66;N
818;18;N
2876;706_707;N
1797;203;N
1656;95M;N
2116;1;N
1799;303;N
1800;304;N
1801;305;N
1803;505;N
1816;204;N
1817;205;N
1837;402;N
1838;502;N
1839;506;N
1840;508;N
1842;602;N
1843;701;N
1844;702;N
1845;704;N
1847;706;N
1848;800;N
1849;801;N
1851;803;N
1852;804;N
1853;805;N
1854;901;N
1855;902;N
1856;903;N
1857;507;N
1877;301;N
1878;806;N
1879;904;N
1897;603;N
1898;206;N
1916;200;N
1917;201;N
1918;401;N
1919;503;N
1920;504;N
1922;604;N
1923;703;N
1924;900;N
1925;501;N
1936;906;N
1937;905;N
2196;99;N
4020;88;N
801747;47;N
801507;107;N
801165;700;N
801867;47_48;N
801907;403;N
801967;404;N
801807;105;N
801947;605;N
801827;39;N
802067;N6;N
802068;N7;N
802147;1M_200;Y
802108;Planeamento;Y
802187;910;Y
802247;150;Y
802248;151;Y
802267;N6_N7;Y
802287;49;Y
802127;108;Y
802207;920;Y
802227;302_303;Y
802307;600_4M;Y
802047;38;N